SSID,BSSID,Encryption
Gana ACT,52:d4:f7:49:77:8a:,Encrypted
Gana ACT,50:d4:f7:4d:77:88:,Encrypted
Gana ACT_5g,50:d4:f7:4d:77:8a:,Encrypted
Gana ACT_5g,52:d4:f7:49:77:88:,Encrypted
,5a:d4:f7:da:4d:9a:,Encrypted
Gana ACT,52:d4:f7:49:77:8a:,Encrypted
Gana ACT,50:d4:f7:4d:77:88:,Encrypted
Saibaba_5G,56:37:bb:1e:e3:99:,Encrypted
Sooraj_Guest,56:d4:f7:da:4d:9a:,Encrypted
Sooraj_Guest,56:d4:f7:da:45:2e:,Encrypted
Saibaba,54:37:bb:1e:e3:99:,Encrypted
Gana ACT_5g,50:d4:f7:4d:77:8a:,Encrypted
Gana ACT_5g,52:d4:f7:49:77:88:,Encrypted
Sooraj,50:d4:f7:da:4d:9b:,Encrypted
Sooraj,50:d4:f7:da:4d:9a:,Encrypted
ACT-ai_103745037772,8c:90:2d:3a:c0:1f:,Encrypted
ACT-ai_103745037772,8c:90:2d:3a:c0:1d:,Encrypted
Bruno,00:04:95:e6:9c:81:,Encrypted
HomeSweetHome,30:de:4b:97:db:11:,Encrypted
Sooraj-4G,30:b1:b5:cd:59:7c:,Encrypted
